Francais,Nufi
Mon mari n'est pas romantique.,Ndū à kɑ̀' zhī zǐ njɑ̌'nkwè'nì(bɑ̄).
Je connais un bon endroit calme.,Ngɑ̌ zhí tɑ̀' mbə̀' zʉ̀' mɑ̀ ywààsì sī mʉ̀ bɑ̄.
Veux-tu venir chez moi?,Ǒ mɑ̀nkə́' làh nsɑ́' mbèé mbú á?
J'aime passer du temps avec toi.,Ngɑ̌ kə̌' làh mmó pí wò.
Ça vous dérange si je m'assois avec vous?(À une seule personne),Ǹ sǐ pí wò(ǹ sǐ púh ngǎk ò) mɑ̀ yáá ngát lō ó?
"Merci, j'ai passé une très bonne soirée.","Ngɑ̌ pén ō, yōh pɑ́h ó còhsì mmó mbūànzɑ́ è mbə̀pə̄'/pə̀pē'."
Cette fille est séduisante.,Ngòò lě lù'. Ngòò lěn tén ngòò.
Fiancée.,"Kwêngòò, ntòònjò'."
"Femme, épouse.","Nzhwīē, ntòònjò'."
Elle est ma fiancée.,Ǎ mɑ́ kwêngòò nà. Ǎ mɑ́ yà kɑ̌'lə́ə́ndʉ̄ɑ̄.
Il est mon fiancé.,Ǎ mɑ́ kwênsòm/kwênsə̀b à.
C'est ma petite amie.,Sên mɑ̄ghɑ̀ɑ̀ bà(yì mʉ̀nzhwīē) bɑ́.
C'est mon ami tout simplement(mais pas petit ami).,Sēn à yì mbâ' bɑ́.
C'est mon amie tout simplement(mais pas petite amie).,Sēn à yì mʉ̀nzhwīē bɑ́.
C'est mon petit ami.,Sên mɑ̄ghɑ̀ɑ̀ bà(yì mbā') bɑ́. Nshʉ̄ɑ̀nshwī à bɑ́.
C'est mon/ma confident(e).,"Ntʉ̄ʉ̄ mà bɑ́, kūɑ̄ncàk à bɑ́."
Embrasse-moi s'il te plait!,Tā'sī ā lɑ́ cʉ̄cō'ò.
Es-tu célibataire?(En s'adressant à un homme),Ǒ mɑ́ nshwìè mbā' á?
Es-tu célibataire?(En s'adressant à une femme),Ǒ mɑ́ nshwìè mʉ̀nzhwīē é?
Es-tu seul(e)?,Ǒ ndǒk ò ó?
"Excuse-moi, je suis pris.","Lɑ̀hsì/lə̀hsì ā lɑ́, ngɑ̌ cáhsí."
J'ai tellement envie de toi.,Nù zǒ ndǒm à tɑ̀'/ Nù zǒ nɑ́ à tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄.
"Tu me manques, litt. j'ai envie de toi.",Nzhìè lǒ mɑ̀nkō ā.
"Tu me manques, mais, il me faut étudier mes leçons.","Nzhìè lǒ mɑ̀nkō ā, tɑ́' yáá ncāk mɑ́ ń nzhī'sī wū."
Tu m'as tellement manqué.,Nzhìè lǒ kó ā tɑ̀'.
Fugue et rejoins-moi.,Khʉ̀ɑ̀ ntāt lā.
Tu me fascines; litt. tu prends mon cœur.,Ǒ mɑ̀ndáh nthʉ̄ ā.
J'ai déjà décidé.,Ngɑ̌ yá' yɑ̄ɑ̄.
J'ai déjà décidé que je vais t'épouser.,Ngɑ̌ yá' yɑ̄ɑ̄ mɑ́ ngɑ̌ ìndə̄ə̄ mō.
Je pense à toi.,Ngɑ̌ mɑ̀nkwá'sí ō.
Je pense toujours à toi.,Ngɑ̌ nkwá'sí ō nkwèè ntìè'. Ngɑ̌ nját nkwá'sí ō.
Je peux te raccompagner chez toi?,Pɑ́ ǹ ngēn ncáh ló mbèé mbú ó?
Je peux te raccompagner chez vous?,Mbɑ́ ǹ ngēn ncáh ló mbèé pěn?
Je peux t'offrir un verre?,Pɑ́ ǹ njwēn ndǔ' mbú ó?
Je peux te caresser?,Mbɑ́ ǹ nhūsī ō ó?
Je suis vraiment désolé(e).,Lɑ̀hsì/lə̀hsì ā ndéndēē.
Je reste à la maison ce soir.,Ngɑ̌ ìnsī mbèè mbūànzɑ́ è.
Je suis enceinte.,Ngɑ̌ mɑ̀ zʉ̄ʉ̄.
Je suis triste depuis que tu es parti.,Ngɑ̌ mɑ̀mmwēn fhʉ̄ pɑ́' ó lɑ̀shʉ̀ɑ̀ lɑ́.
Je te trouve très jolie.,Ǒ pə̀' tɑ̀'. Ǒ pə̌' ngòò tɑ̀'. Ǒ tén ngòò.
Tu es mon diamant.,Ǒ mɑ́ yà lǒhfʉ̀'.
Tu es ma citadelle.,Ǒ mɑ́ yà lǒhsām.
Tu es le remède de ma fièvre.,Ǒ mɑ́ yà hǔ kó'nā.
Je te trouve très séduisant(e).,Ǒ lù' tɑ̀'.
Tu acceptes d'être avec moi?,Ǒ pén làh mbɑ̄ pí mʉ̀ ʉ́?
Je vais y réfléchir.,Ngɑ̌ ìnkwá' nǔ ná.
Laisse-moi un peu de temps pour y réfléchir.,Nāk mēn-wú ntìé' mbú à làh nkwá' nǔ ná.
Je veux être avec toi pour toujours.,Ngɑ̌ mɑ̀nkə́' làh mbɑ̄ pí wò mìmìè.
Je veux être avec toi pour toujours; litt. je veux fermer tes yeux quand tu mourras.,Ngɑ̌ mɑ̀nkwé' làh nsí nɑ̄h mǒ.
Je voudrais mourir à tes côtés.,Ngɑ̌ mɑ̀nkə́' làh nkūɑ̄ púh ngǎk ò.
Lettre d'amour.,Ŋwɑ̀'nǐ nkə̀'nì/nkwè'nì.
J'écris une lettre.,Ngɑ̌ mɑ̀nŋwɑ́' tɑ̀' ŋwɑ̀'nì.
"Si nous pouvions faire un tour, cela me plairait bien.","Yōh pɑ́h ó fhʉ̌mɑ̄ngén tóm kāāsī, mɑ̀ yáá pè' ā tɑ̀'."
"Moi aussi, ça me plairait bien!",Mbɑ̀ mʉ̀ mɑ̀ yáá mbé' ā tɑ̀'.
Mourir pour toi ne serait qu'un sommeil.,Ǹ kúɑ́ nɑ́ tū ō mɑ̀ ngɑ̌ dīdīē.
On se voit/se retrouve à quelle heure?,Wèn yēēsī/yīīsī nɑ́ yàā ntìè'?
On se donne rendez-vous à 22 heures.,Wèn yēēsī(tʉ̄ɑ̄ kɑ̌') nɑ́ nàm ghǎm mbūànzɑ̄.
Où veux-tu qu'on se retrouve?,Wèn yēēsī/pómsí mɑ̀ hɑ̄?
Retrouvons-nous devant l'université.,Wèn pómsí/pə́bsí mbhì zʉ̌'ŋwɑ̀'nì ndāmɑ̀.
Petit ami.,Sên mɑ̄ghɑ̀ɑ̀(yì mbâ'). Nshʉ̄ɑ̀nshwī.
Petite amie.,Sên mɑ̄ghɑ̀ɑ̀(yì mʉ̀nzhwīē).
Pourrais-je avoir votre numéro de téléphone?,Mbɑ́ ǹ nkō ntìmbhì nkhʉ̌nkèn ō ó?
Quel est ton numéro de téléphone?,Ntìmbhì nkhʉ̌nkèn ǒ mɑ́ kɑ́?
Voici mon numéro de téléphone.,Ntìmbhì nkhʉ̌nkèn ā béè.
Voici mon numéro.,Ntìmbhì nà béè.
Puis-je t'embrasser? Je peux t'embrasser?,Mbɑ́ ǹ ntā'sī ō ó?
Quand pourrions-nous nous revoir?,Pɑ́ wèn pāt njīīsī/ njēēsī sēnɑ̄/sēlɑ̄?
Que penses-tu de cet endroit?,Ǒ mɑ̀njēē zʉ̀' béé mɑ̀ lāhā?
Que penses-tu de moi?,Ǒ mɑ̀njīī nā mɑ̀ lāhā?
Qu'est-ce que je vous sers?,Ń nhɑ̄ kɑ́ mbú ò?
Qu'est-ce que tu aimerais faire ce soir?,Kɑ́ tɑ́ ó mɑ̀nkwé' làh ngʉ́ mbūànzɑ́ è?
Qu'est-ce que tu fais ce soir? Que comptes-tu faire ce soir?,Kɑ́ tɑ́ ó mɑ̀nkwá'sí làh ngʉ́ mbūànzɑ́ è?
Qu'est-ce qui te tente? Qu'as-tu l'intention de faire?,Kɑ́ tɑ́ ó mɑ̀nkə́' làh ngʉ́ ntìé'è?
Serre-moi.,"Tā'sī ā shwītōk, hɑ̄ shwītōk zí' mbú à."
"Si la lune était mienne, je l'aurais utilisée pour acheter ton amour.","Mɑ̄ŋū kɑ̀fhʉ̌ mbɑ̄ yà, mɑ̀ ngɑ̌ làh njwēn nkə̀'nì ò!"
Son habit est sexy.,Ndhī í mɑ̀njóm wèn.
Elle a porté un habit sexy.,Ǎ sǒ fíá ndhī.
Ton habillement te convient à merveille.,Ndhī ó còh mbóm/mbə́p nɑ́ ò.
"Tu as de beaux yeux, tu sais?",Tɑ̀ ǒ zhí mɑ́ nɑ̄h/nə̄h mǒ lɑ́ pə̀' tɑ̀'?
Tu as de beaux yeux.,Nɑ̄h/nə̄h mǒ pə̀' tɑ̀'.
Tu as un très beau sourire.,Mǔ'zhwìè zǒ pə̀' tɑ̀'. Yò mbʉ́ɑ́ mǔ'zhwìé pə̀' tɑ̀'.
Tu es déjà venu ici?,Ǒ yá' sɑ̌' séé?
Tu es élégant.,Ǒ còh nzhī nǔsòm.
Tu es élégante.,Ǒ còh nzhī nǔngòò.
Tu es la plus belle fille que j'aie jamais vue.,Ǒ mɑ́ ntūmbhì pə̀'njɑ̄' mēngòò yì ngɑ̌ yá' yīī fhʉ̄ pɑ́' mɑ̄vǒ lɑ̀zī ā lɑ́.
Tu es mon objectif de vie.,Ǒ mɑ́ yà túnǔ ndòm sīècɑ̌'.
Tu es libre ce soir?,Ndɑ̌h/ntìé' mbú ó mbūànzɑ̄ ɑ́? Ǒ cáhsí mbūànzɑ́ é?
Tu es libre demain soir?,Ndɑ̌h/ntìé' ìmbɑ̄ mbú ó wāhà mbūànzɑ̄ ɑ́?
Tu es très beau.,Ǒ pě' mbâ' tɑ̀'.
Tu es très belle.,Ǒ pə̌' mʉ̀nzhwīē tɑ̀'.
Merci chéri(e).,Ngɑ̌ pén ō mōònkō' à.
Merci du compliment!,Ngɑ̌ pén ó nɑ́ ŋāmsì/ghāpsì.
La mère de mes enfants.,Mɑ̄ à pōō mbǎ.
Tu es très sexy.,Ndhī ō lɑ́ fīā tɑ̀'. Ǒ sǒ fíá ndhī. Ǒ mɑ̀njóm/mɑ̀njə́b ā tɑ̀'.
Tu es très/extrêmement jolie.,Ǒ pə̀' njɑ̄'.
Tu me fascines.,Ǒ mɑ̀ndáh nthʉ̄ ā.
Tu me rends heureux(se).,Ǒ mɑ̀nhɑ̄ ā cà'sì. Ǒ mɑ̀nhɑ̄ ā pə̀'nì.
Tu veux boire quelque chose?,Ǒ mɑ̀nkwé' làh nnū tɑ̀' wū ú?
Tu veux qu'on aille ailleurs?,Ǒ mɑ̀nkə́' mɑ́ pɑ̀h/wèn ghén nɑ́ mó' zʉ̀' ʉ́?
Tu viens souvent ici?,Ǒ ngʉ́ nsɑ́' séé?
Un confident.,"Ntʉ̄ʉ̄, kūɑ̄ncàk."
Veux-tu danser avec moi?,Ǒ mɑ̀nkə́' làh nzēnshì pí mʉ̀ ʉ́?
Veux-tu être ma petite amie?,Ǒ mɑ̀nkə́' làh mbɑ̄ sên mɑ̄ghɑ̀ɑ̀ bà á? Ǒ mɑ̀nkwé' làh mbɑ̄ sên mɑ̄ghɑ̀ɑ̀ bà yì mʉ̀nzhwīē έ?
Oui je le veux.,Ŋ̄h! Ngɑ̌ mɑ̀nkwé'. Ŋ̄h! Ngɑ̌ pén.
Veux-tu être mon épouse?,Ǒ pén làh mbɑ̄ nzhwīē ā á?
"Oui, je veux être ta femme.",Ŋ̄h! Ngɑ̌ pén làh mbɑ̄ nzhwīē ò.
Veux-tu être mon petit ami?,Ǒ mɑ̀nkwé' làh mbɑ̄ sên mɑ̄ghɑ̀ɑ̀ bà(yì mbā') á? Ǒ mɑ̀nkə́' làh mbɑ̄ nshʉ̄ɑ̀nshwī ā á?
Miracle! C'est le monde à l'envers!,Shʉ̀ɑ́nù! Nzɑ́ hèē nkhǔ ncāt!
Veux-tu m'épouser?,Ǒ pén làh ndə̄ə̄ mā á?
J'accepte sans hésitation.,Ngɑ̌ pén sì kwà'sì.
Chapitre 10. Cœur brisé.,Nzâknù 10. Fák nkə̀'nì.
"L'amour m'a envouté. Ce chapitre permettra à l'apprenant, d'exprimer ses sentiments après une déception amoureuse.",Nkwè'nǐ pàt lā. Béé nzâknù lě ìnkōsī ngà'ŋwɑ̀'nì làh nsōk mvàk yì ǎ mɑ̀njū' nā ì ntìè' yì mōònkō' ǐ zǎk njǎm ì lɑ́.
Ça fait longtemps que tu es là?,Ǒ síé fhʉ̄ ntìè' é? Ǒ séè lè fhʉ̄ ntìè' é?
Ça fait longtemps que tu m'attends?,Ǒ píɑ́ bā tɑ̀' ɑ́?
Ça me fait souffrir.,Yáá mɑ̀nhɑ̄ ā ngǎngà. Yáá mɑ̀nhɑ̄ ā ngʉ̄ɑ̄'.
Ça me fait très mal.,Yáá mɑ̀njā' lā tɑ̀'.
Chagrin d'amour.,"Fák nkə̀'nì, nzènzěn nkə̀'nì."
"Chéri, mon cœur me fait souffrir depuis que tu m'as larguée.","Mōònkō' à, mbǎ'ntām ǎ mɑ̀njā' fhʉ̄ pɑ́' ó lɑ̀tʉ̄ɑ̄ á ntēē lɑ́."
L'amour m'a envouté.,Nkwè'nǐ pàt lā.
Je suis hors de moi.(Litt. mon corps ne m'appartient pas),Nā à sī yà bɑ̄.
Je suis éperdu.(Litt. La nature m'a encerclé.),Nzɑ́ kāā lā.
L'amour c'est un traumatisme.,Nkwè'nǐ mbɑ̄ lʉ̄lʉ̄ɑ̄.
J'ai été blessé par l'amour.,Nkwè'nǐ lʉ́ʉ́ mā.
Il n'y a personne pour compatir à ma douleur.,Ngɑ̌ sí' mɑ̄lèēntēē.
"D'ailleurs, il/elle n'était qu'un(e) vaurien(ne).","Mbɑ̀ fà'á, à lɑ̀ yá' bɑ̄ mɑ́ wūnèhē."
Es-tu occupé ce soir?,Ǒ cáhsí mbūànzɑ́ é?
"Désolé(e), j'ai déjà prévu quelque chose.","Lɑ̀hsì/lə̀hsì ā lɑ́, ngɑ̌ yá' ghʉ̌ wū làh ngʉ́."
"Désolé(e), je ne peux pas venir ce soir.","Lɑ̀hsì/lə̀hsì ā lɑ́, mbɑ́ ń dɑ̀ sɑ́' mbūànzɑ́ é bɑ̄."
"Désolé(e), je ne suis pas libre demain matin.","Lɑ̀hsì/lə̀hsì ā lɑ́, ndɑ̀h/ntìè' sī mbú á wāhà fɑ́hnzɑ̄ bɑ̄."
Je serai là dans cinq minutes.,"Ngɑ̌ ìmbɑ̄ síé nɑ́ nǔ mbhʉ̄ tî. Yāā kɑ́ lī' sī mbhʉ̄ tî m̀ mbɑ̄ sīē. Hɑ̄ ā mbhʉ̄ tî ngɑ̌ ìmbɑ̄ sīē. Yáá ìndí' ghʉ̌ mbhʉ̄ tî, m̀ mbɑ̄ sīē."
J'ai trop de travail.,Mfɑ̌' mbú á yə̄ə̄.
Remettons-ça à une autre fois.,Wèn yɑ̄ɑ̄ yáá nɑ́ mǒ' līē'.
Qu'il en soit ainsi!,ɑ́ yāā bɑ̄ fà'á!
Je t'appelle plus tard.,Ngɑ̌ ìngʉ́ ncēh ō. Ngɑ̌ ìncēh ō ntìē'mò'.
Je te retrouverai là-bas.,Ngɑ̌ ìntāt ló mʉ̀.
Ça fait longtemps que tu m'attends?,Ǒ píɑ́ bā tɑ̀' ɑ́?
Ça fait longtemps que tu es là?,Ǒ síé fhʉ̄ ntìè' é? Ǒ séè lè fhʉ̄ ntìè' é?
Oh là là!,Yéé yà wɑ̄ lɑ̄ ē ē! Yéé nhɔ̀'! Hɔ̌ bɑ̂!
"Oh, mon Dieu!","Yêy, Mbōò mà!"
Je suis un peu en retard.,Ngɑ̌ nɑ́' ncōh.
Ça me fait souffrir.,Yáá mɑ̀nhɑ̄ ā ngǎngà. Yáá mɑ̀nhɑ̄ ā ngʉ̄ɑ̄'.
Ça me fait très mal.,Yáá mɑ̀njā' lā tɑ̀'.
"Désolée, mais tu n'es pas mon genre d'homme.","Lɑ̀hsì/lə̀hsì ā lɑ́, tɑ́', ò sī mɑ́ yà ntīē mbā' bɑ̄."
"Ne m'abandonne pas, ne me largue pas.",Ǒ sì tʉ̄ɑ̄ á ntēē.
Il/elle a laissé un vide dans ma vie.,Ǎ nák mbók ntám vɑ̀hnì ā.
Tu as l'air triste.,Yáá mɑ̀mfōh pɑ́' ǒ mɑ̀mmwēn lɑ́.
Qu'est-ce qui te rend triste?,Kɑ́ bɑ́ mɑ̀ngát lō?
Il/elle m'a trahi; litt. il/elle m'a fait monter et a ôté l'échelle.,Ǎ tʉ́ɑ́ á thʉ̄ ndó' nkō'.
Je m'en fous de toi.,Ǹ kɑ̀' cə̄ə̄ mɑ̀ wò.
Espèce de prostituée!,Khʉ̀ mó' wū!
Son image me hante.,Nìnì zǐ mɑ̀nzɑ́hsí nthʉ̄ ā.
Tu me fais souffrir.,Ǒ mɑ̀nhɑ̄ ā ngǎngà.
J'ai perdu l'appétit.,Wúzɑ̄ sī yǎt mɑ̀nshʉ́ɑ́ nshù á bɑ̄.
J'aurais souhaité que Dieu prenne ma vie.,Sīē fhʉ̌ mɑ̄ngén kō vɑ̀h zā mɑ̀ yáá pə̀' ā.
"Je l'aime tellement, je l'aime plus que tout.","Ngɑ̌ kwè' ī tɑ̀', ngɑ̌ kwè' ī nshʉ́ɑ́ mbɑ̀kɑ́lɑ̄."
Je n'arrive plus à dormir.,Ǹ sī yǎt mɑ̀ndīē nzhī bɑ̄. Lōh sī yǎt mɑ̀ncō zɑ́h á bɑ̄.
"Mon petit ami n'a pas de cœur, c'est un monstre.","Sên mɑ̄ghɑ̀ɑ̀ bà(yì mbâ') kɑ̀' ghʉ́ mbǎ'ntām, ǎ mɑ́ pūpwēn."
"Ma petite amie m'a trompé avec son amant, c'est un fantôme.",Sên mɑ̄ghɑ̀ɑ̀ bà yì mʉ̀nzhwíé ghěn mɑ̄ghɑ̀ɑ̀; ǎ mɑ́ ghǎ'wèn.
Mon/ma confident(e) m'a trahi.,"Ntʉ̄ʉ̄ mǎ fʉ̀ɑ̀ ā, kūɑ̄ncàk ǎ zǎknjǎm à, ǎ tʉ́ɑ́ á thʉ̄ ndó' nkō'."
Je ne peux pas tenir sur mes jambes; litt. mes pieds sont morts.,Nkhù mǎ kúɑ́.
Je ne peux plus supporter cette douleur.,Pɑ́ ń dɑ̀ īmbát mfēnsī béé yā' lè nzhī.
Je pense toujours à lui/elle.,"Ǹ njǎt kònkwá'sí ī, ǹ njǎt mɑ̀nkwá'sí ī."
"Je suis désemparé, je suis décontenancé; litt. où vais-je mettre mon corps.",Nǔ shʉ̀ɑ̀ ā. Ngɑ̌ nshʉ̄' nā à mɑ̀ hɑ̄?
"Je suis désemparé, je suis décontenancé; litt. mon corps ne m'appartient pas.",Nā à sī yà bɑ̄.
Je souffre beaucoup.,Ngɑ̌ mɑ̀njēēngʉ̄ɑ̄' tɑ̀'.
Je suis bouleversé(e).,"Zhínù zǎ vá'sí, nǔ shʉ̀ɑ̀ ā."
Je suis troublé(e).,Ngɑ̌ mɑ̀nzhʉ̄ʉ̄sī.
Je voudrais pouvoir dormir et ne plus me réveiller.,"M̀ fhʉ̌ mɑ̄ngén nə̌' síé dīē, ɑ́ sǐ' pǎt yòmɑ̀ bɑ̄, mɑ̀ yáá pə̀' ā."
"Non, tu ne comprends pas. Tu ne peux pas comprendre ce que je ressens.","Ngǎ', ò sī mɑ̀njū' bɑ̄. Mbɑ́ ó lɑ̀ yū' pɑ́' ngɑ̌ mɑ̀njū' nā ā lɑ́."
"Peut-être s'il/si elle savait combien je l'aimais, il/elle me reviendrait.","Mbə́'ntìè' mɑ̀ à fhʉ̌nzhī nkām mvàk yì ngɑ̌ nkə́' ī lɑ́, mɑ̀ ǎ pǎtnjǎm mbú à."
Je ne recommencerai plus jamais.,"Ǹ sī ìmbát lɑ̄' ngʉ́ bɑ̄, ǹ sī ìmbát lɑ̄' mfʉ́ɑ́' bɑ̄."
Chapitre 11. Demander pardon.,Nzâknù 11. Ndōō lɑ̀hsì/lə̀hsì.
"En guerre, on ne tue pas celui qui capitule. Pardonner c'est oublier à plusieurs reprises. À la fin de ce chapitre, vous serez en mesure de demander pardon en langue fè'éfě'è.",Ncò lɑ̀' wáá mmɑ̀'mbō. Làh ndɑ́hsí mbɑ̄ làh ndɑ́h ncámncām. Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ndōō lɑ̀hsì mɑ̀ ghə̀ə̄ fè'éfě'è.
"Ce n'est pas grave, ce n'est rien.",Sī ghɑ̀' nù bɑ́ bɑ̄.
"Ce n'est rien, ne t'en fait pas.","Sī sə̀ə̄wū bɑ́ bɑ̄, ǒ sì cə̄ə̄."
Ne sois plus triste.,Ǒ sì īmbát mmwēn.
Ne t'en fais pas trop.,"Cə̄ə̄ ncāb, ǒ sì cə̄ə̄ mɑ́ tɑ̀'."
"J'ai compris, je te pardonne.","Ngɑ̌ yú', ngɑ̌ lɑ̀hsì/lə̀hsì ō."
Je ne recommencerai plus jamais.,Pɑ́ ń dɑ̀ īmbát mfʉ́ɑ́' sə̀ə̄līē'.
"Je sais que j'ai tort, mais s'il te plait, je ne l'ai pas fait sciemment.","Ngɑ̌ zhí mɑ́ ngɑ̌ hèè, tɑ́', cʉ̄cō'ò ngɑ̌ hèè sì zhī."
"Je suis désolé de vous avoir offensé, je suis navré de vous avoir offensé.",Yáá mɑ̀njā' lā mvàk yì ngɑ̌ nhɑ̄ ō ngǎngà lɑ́. Lɑ̀hsì ā mvàk yì ngɑ̌ nhɑ̄ ō ngǎngà lɑ́.
"Je suis désolé, je suis navré.",Lɑ̀hsì/lə̀hsì ā lɑ́. Yáá mɑ̀njā' lā.
Je suis un vaurien; c'est avec des larmes que je te demande pardon.,"Ngɑ̌ kwɑ̀' tɑ̀' wūnèhē, nshǐnɑ̄h tɑ́ ngɑ̌ mɑ̀ndáh ndōō lɑ̀hsǐ mbú ò."
"Je t'ai trahi, je t'ai mis en colère, je n'ai pas su estimer ta valeur, mais un enfant puni ne doit pas être rejeté.","Ngɑ̌ zǎknjǎm ò, ngɑ̌ hɑ́ ō yá'nthʉ̄, ngɑ̌ tə́ə́mvàk ō kīkēē, tɑ́' pó nzáb mōō ncáh mɑ̀ ndʉ̄ɑ̄."
Laisse-moi tout seul environ dix minutes.,Nɑ̄' nnāk ā ndǒk à ngwǎ' mbhʉ̄ ghǎm.
"Merci, tu es doux(ce) comme un agneau.","Ngɑ̌ pén ō, ǒ mbūāsī pɑ́' mēn nzhʉ̀nzhʉ̀ɑ̀ lɑ́."
Pas de souci(en réponse aux excuses qu'on vous demande).,Ncà' sī wū bɑ̄.
"Si tu me pardonnes, je ne le referais plus jamais.","Ò lɑ̌hsí ā, mɑ̀ ǹ sī ìmbát lɑ̄' ngʉ́ fà'á sə̀ə̄līē' bɑ̄."
"S'il fallait recommencer, je ne le répéterais plus.",Nzɑ̄ kɑ̌' mbátnjàm mɑ̀ ǹ sī ìmbát lɑ̄' mfʉ́ɑ́'/ngʉ́ bɑ̄.
"S'il te plait, pardonne-moi.",Cīcō'ò lɑ̀hsì ā lɑ́.
"Tes excuses sont acceptées, mais ne recommence plus.","Ngɑ̌ pén lɑ̀hsì/lə̀hsì zō, tɑ́', ǒ sì īmfʉ́ɑ́'."
Chapitre 12. Souhaits de fête.,Nzâknù 12. Cɑ̀'sǐ cà'sì.
"À la fin de ce chapitre, vous serez en mesure de souhaiter bonne fête à quelqu'un en langue fè'éfě'è.",Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh nsíé mbè'mbè' cà'sǐ mbí wèn mɑ̀ ghə̀ə̄ fè'éfě'è.
Bienvenue!,Sɑ̌' mbə̀pə̄'/pə̀pē'!
"Bon anniversaire, joyeux anniversaire.","Mbə̀'mbə̀'(cômsǐ) líé'zī, mbè'mbè' líé'nzɑ́zī."
"Bon anniversaire à toi, joyeux anniversaire à toi.","Mbè'mbè' líé'zí mbú ò, mbə̀'mbə̀' líé'nzɑ́zí mbú ò."
Bonne année à toi.,Mbə̀'mbə̀'/mbè'mbè' ngù'fí mbú ò.
Bonne année.,Mbə̀'mbə̀'/mbè'mbè' Ngù'fī.
Bonne cérémonie d'anniversaire de mariage!,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ cômsǐ lə́ə́ndʉ̄ɑ̄.
Bonne cérémonie de mariage!,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ lə́ə́ndʉ̄ɑ̄.
Bonne fête de la jeunesse!,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ ngwēèwèn.
Bonne fête de la réunification.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ kwèēngə̀'.
Bonne fête de pâques.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ lǒnɑ́wúɑ́ Yēhsò(Mēn Mbōò).
Bonne fête de Saint Valentin.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ nkə̀'nì/nkwè'nì.
Bonne fête des amoureux.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ nkə̀'nì/nkwè'nì.
Bonne fête des femmes.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pʉ̌nzhwīē.
Bonne fête des mères.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pɑ̀mɑ̄.
Bonne fête des pères.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ pɑ̀mbɑ̄'.
Bonne fête d'Independence.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ dìpʉ̀ɑ̀.
Bonne fête du travail.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ mfɑ̀'.
Bonne fête nationale!,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ ngə̀'.
Joyeux Noël/joyeux jour de naissance de l'enfant de Dieu.,Mbə̀'mbə̀'/mbè'mbè' cà'sǐ zí Mēn Mbōò.
Qu'est-ce que tu as de prévu pour le nouvel an?,Kɑ́ tɑ́ ó mɑ̀nkɑ́'/mɑ̀nkwá'sí làh ngʉ́ nɑ́ ngù' fī?
Qu'est-ce que tu as de prévu pour pâques?,Kɑ́ tɑ́ ó mɑ̀nkɑ́'/mɑ̀nkwá'sí làh ngʉ́ nɑ́ ntìè' ē lǒnɑ́wūɑ̄?
Soyez la bienvenue!,Sɑ̌' mbə̀pə̄'/pə̀pē'!
Soyez les bienvenus!(A plusieurs personnes),Pèn sɑ́' mbə̀pə̄'!
Chapitre 13. Temps et saisons.,Nzâknù 13. Ntìē'nzɑ̄/Ndɑ̌hnzɑ̄/Nshʉ̀ɑ̀nzɑ̄.
"Le tonnerre gronde ainsi tálàlàlàlàlàt! À la fin de ce chapitre, vous serez en mesure de parler de la météo et de la saison en langue fè'éfě'è.",Hǎ'mbǎk mɑ̀mvīāt mɑ́ tálàlàlàlàlàt! Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh nsōk wèn mvàk yì nzɑ́ mɑ̀nshʉ́ɑ́ lɑ́ mɑ̀ ghə̀ə̄ fè'éfě'è.
Il a beaucoup plu aujourd'hui.,Mbǎk ló zě'è tɑ̀'.
Il a commencé à pleuvoir.,Mbǎk tó' làh ndō.
Il fait 19°c.,Fōh nzɑ́ nshī' ncɔ̀ vʉ̀'ʉ̄ mɑ̀ ghǎm.
"Il fait beau, le climat est bon.","Nděn shʉ̀ɑ̀, ndɑ̌h nzɑ́ pə̀'."
Il fait chaud.,Zʉ̌' mɑ̀ndóm/kòndə́b.
Il fait environ 25°c.,Fōh nzɑ́ ngwǎ' nshī' ncɔ̀ tî mɑ̀ mʉ̄mbʉ́ɑ́.
Il fait froid ici.,Fóh mɑ̀nkō séè.
Il fait très chaud.,Zʉ̌' mɑ̀ndóm tɑ̀'.
Il fait trop froid ici.,Fóh mɑ̀nkō séè tɑ̀'/yə̄ə̄.
Il fait un peu chaud.,Zʉ̌' mɑ̀ nɑ̄' ndóm.
Il grêle.,Nìīmbǎk mɑ̀mfī'.
Il n'a pas plu depuis deux semaines.,Mbàk kɑ̀' lō fhʉ̄ ngɑ̀ɑ̀ pʉ́ɑ́.
